"","ID","longitude","latitude","species","sp","mlim","DBH","life_strategy","elevation","species_wood_density"
"202","12LDcau4",605017.0895,647120.9623,"Dipterocarpus caudiferus","Dcau",40,53,"Subcanopy",60.282,0.632142857142857
"203","12LDcau5",605050.3098,647117.3333,"Dipterocarpus caudiferus","Dcau",40,51,"Subcanopy",73.429,0.632142857142857
"204","12LDcau6",605024.5083,647100.7061,"Dipterocarpus caudiferus","Dcau",40,66,"Subcanopy",65.55901,0.632142857142857
"205","12LDcau7",604994.9966,647091.4432,"Dipterocarpus caudiferus","Dcau",40,66,"Subcanopy",59.392,0.632142857142857
"206","12LDcau8",605061.431,647087.8702,"Dipterocarpus caudiferus","Dcau",40,94,"Subcanopy",60.814,0.632142857142857
"207","12PDcau1",605863.2268,647247.695,"Dipterocarpus caudiferus","Dcau",40,62,"Subcanopy",75.714,0.632142857142857
"208","8HDcau1",604418.0388,647833.0442,"Dipterocarpus caudiferus","Dcau",40,47,"Subcanopy",81.707,0.632142857142857
"209","8HDcau2",604423.5713,647834.8961,"Dipterocarpus caudiferus","Dcau",40,50,"Subcanopy",82.108,0.632142857142857
"210","8HDcau4",604379.2029,647884.5721,"Dipterocarpus caudiferus","Dcau",40,89.5,"Subcanopy",75.64301,0.632142857142857
"211","8HDcau5",604386.4604,647960.1313,"Dipterocarpus caudiferus","Dcau",40,90,"Subcanopy",70.537,0.632142857142857
